Best scores heap is stale. 117 consecutive rejects. RESETTING STATES AND SAVING...
Terminated at iteration 74.
Scores:
927.0 -     [-9999999.0, -588.0, -1961.0, -1126.0, -30.0, -1994.0, -545.0, -1339.0, -259.0, -73.0, -1272.0, -1360.0, -1297.0, -894.0, 90.0, 224.0, -1129.0, -479.0, 952.0, -1314.0]
949.0 -     [-9999999.0, -1004.0, 1616.0, 409.0, -193.0, -2007.0, -896.0, -1921.0, -1470.0, -70.0, -1240.0, -1356.0, -1064.0, -1907.0, -99.0, 226.0, 616.0, -715.0, 256.0, -1463.0]
950.0 -     [-9999999.0, -725.0, 936.0, 197.0, -1709.0, -1962.0, -916.0, -1923.0, 1106.0, -111.0, 95.0, -1342.0, -89.0, 605.0, 1485.0, 237.0, 616.0, 545.0, 256.0, -1463.0]
1008.0 -    [-9999999.0, -108.0, 1960.0, 442.0, -56.0, -2026.0, -545.0, -1339.0, -259.0, -67.0, -1240.0, -1100.0, -1297.0, -1566.0, 1954.0, 224.0, 727.0, -545.0, 72.0, -834.0]
1058.0 -    [-9999999.0, -1004.0, 1616.0, 409.0, -193.0, -2039.0, -896.0, -85.0, -1470.0, -70.0, 199.0, -1375.0, -1390.0, -1907.0, -99.0, 226.0, 616.0, -715.0, 279.0, -1463.0]
1156.0 -    [-9999999.0, -1004.0, 1616.0, 409.0, -193.0, -2007.0, -896.0, -1921.0, -1470.0, -70.0, -1240.0, -1356.0, -1064.0, -1907.0, -99.0, 226.0, 616.0, -715.0, 256.0, -1463.0]
1432.0 -    [-9999999.0, -693.0, 1960.0, 410.0, -1340.0, -1994.0, -304.0, -1921.0, 253.0, -67.0, -1240.0, -1100.0, -1297.0, -483.0, 93.0, 224.0, -1129.0, -386.0, 272.0, -1111.0]
1115.0 -    [-9999999.0, -1004.0, -944.0, 199.0, -1576.0, -964.0, -1104.0, -1953.0, 317.0, -311.0, 239.0, -694.0, -1064.0, 141.0, 1122.0, 5.0, 616.0, 845.0, -1368.0, -1610.0]
1304.0 -    [-9999999.0, -277.0, 1960.0, 321.0, -601.0, -2042.0, -304.0, -1921.0, 253.0, -67.0, -1240.0, -1356.0, -1297.0, -1886.0, 1949.0, 224.0, 616.0, -545.0, 1007.0, -1290.0]
1102.0 -    [-9999999.0, -108.0, -1961.0, 389.0, -573.0, -2042.0, -304.0, -1921.0, 253.0, -67.0, -1240.0, -1356.0, -1340.0, -1886.0, 1949.0, 224.0, 727.0, -545.0, 72.0, -834.0]
