Best scores heap is stale. 204 consecutive rejects. RESETTING STATES AND SAVING...
Terminated at iteration 69.
Scores:
754.0 -     [-9999999.0, 948.0, -601.0, 1028.0, 967.0, -364.0, 1003.0, -3.0, -42.0, -1383.0, -1931.0, -1771.0, -858.0, -1420.0, -217.0, -728.0, 157.0, -448.0, -89.0, -1371.0, -1061.0, -613.0]
766.0 -     [-9999999.0, 284.0, -601.0, 2043.0, -1776.0, -362.0, 768.0, -1792.0, 96.0, -2016.0, -1387.0, -1771.0, -807.0, -1503.0, -232.0, -761.0, 141.0, -425.0, -77.0, -1371.0, -988.0, -405.0]
763.0 -     [-9999999.0, 931.0, -601.0, 2043.0, -1945.0, -362.0, 768.0, 1780.0, -102.0, -1347.0, -1910.0, -1739.0, -874.0, -1500.0, -441.0, 1013.0, 73.0, -1204.0, -1312.0, -1371.0, -1364.0, -421.0]
874.0 -     [-9999999.0, -1316.0, -602.0, 1258.0, -358.0, 721.0, 1008.0, -318.0, -176.0, -1766.0, -990.0, -1688.0, -871.0, -1831.0, 231.0, 1586.0, 76.0, -1204.0, -248.0, -1371.0, -988.0, -385.0]
789.0 -     [-9999999.0, 284.0, -601.0, 2043.0, 967.0, -364.0, 1003.0, -3.0, -42.0, -1374.0, -1910.0, -1771.0, -615.0, -1420.0, -217.0, -728.0, 141.0, -425.0, -89.0, -1371.0, -988.0, -405.0]
1047.0 -    [-9999999.0, -1764.0, -587.0, 1531.0, -1773.0, -362.0, -448.0, 3.0, -45.0, -1374.0, -1931.0, -1771.0, -858.0, -1436.0, -89.0, -736.0, 242.0, -441.0, -89.0, -1371.0, -988.0, -405.0]
839.0 -     [-9999999.0, 284.0, -601.0, 2043.0, 967.0, -364.0, 1003.0, -3.0, -42.0, -1383.0, -1931.0, -1771.0, -858.0, -1420.0, -217.0, -728.0, 477.0, -425.0, -89.0, -1371.0, -991.0, -405.0]
1702.0 -    [-9999999.0, 948.0, -601.0, 1028.0, 967.0, -373.0, 1003.0, -3.0, -42.0, -1387.0, -1910.0, 277.0, -864.0, -1436.0, -217.0, -728.0, 218.0, -425.0, -84.0, -1371.0, -988.0, -640.0]
1317.0 -    [-9999999.0, 931.0, -601.0, 1028.0, -1945.0, -362.0, 1600.0, 2.0, -45.0, -1374.0, -1931.0, -1771.0, -858.0, -1420.0, -217.0, -760.0, 141.0, -448.0, -89.0, -1371.0, -1061.0, -421.0]
821.0 -     [-9999999.0, -925.0, -603.0, 1531.0, 787.0, 1943.0, 1600.0, -254.0, -146.0, -1374.0, -2011.0, -1555.0, -883.0, -1420.0, -205.0, -952.0, -142.0, -1280.0, -89.0, -1371.0, -988.0, -405.0]
